Sex,Sample_Info,Hatched Date,Sampled Date,Year,Age days,Age class,Treatment,Mother age,Lot
Female,d088_5YR,05/05/2011,25/05/2016,2016,1847,,,,1
Male,E246_2YR,24/03/2013,11/03/2015,2015,717,,,,1
Male,E246_8yr,24/03/2013,08/02/2022,2022,3243,,,,1
Male,E246_D15,24/03/2013,08/04/2013,2013,15,,,,1
Male,E246_D170,24/03/2013,12/09/2013,2013,172,,,,1
Male,E246_D30,24/03/2013,22/04/2013,2013,29,,,,1
Male,E246_D365,24/03/2013,20/03/2014,2014,361,,,,1
Female,E253,08/08/2012,19/06/2018,2018,2141,Old,Normal,,2
Male,E264,15/03/2013,21/06/2018,2018,1924,Old,Constant,,2
Male,E264_2yr,15/03/2013,19/03/2015,2015,734,,,,1
Male,E264_8yr,15/03/2013,08/02/2022,2022,3252,,,,1
Male,E264_d15,15/03/2013,29/03/2013,2013,14,,,,1
Male,E264_d170,15/03/2013,12/09/2013,2013,181,,,,1
Male,E264_d30,15/03/2013,15/04/2013,2013,31,,,,1
Male,E264_d365,15/03/2013,20/03/2014,2014,370,,,,1
Female,E355,12/08/2012,19/06/2018,2018,2137,Old,Constant,,2
Male,E486,13/11/2012,19/06/2018,2018,2044,Old,Normal,,2
Female,E494,17/11/2012,20/06/2018,2018,2041,Old,Normal,,2
Female,E604,12/10/2012,20/06/2018,2018,2077,Old,Normal,,2
Male,E607_8yr,13/10/2012,25/01/2022,2022,3391,,,,1
Male,E607_d20,13/10/2012,02/11/2012,2012,20,,,,1
Male,E607_d40,13/10/2012,22/11/2012,2012,40,,,,1
Male,E607_d90,13/10/2012,11/01/2013,2013,90,,,,1
Female,E612,13/10/2012,19/06/2018,2018,2075,Old,Normal,,2
Female,E614,14/10/2012,18/06/2018,2018,2073,Old,Constant,,2
Female,E623,14/10/2012,19/06/2018,2018,2074,Old,Normal,,2
Female,E650,16/10/2012,20/06/2018,2018,2073,Old,Constant,,2
Male,E740,16/03/2013,21/06/2018,2018,1923,Old,Normal,,2
Male,E752_2yr,13/03/2013,11/03/2015,2015,728,,,,1
Male,E752_8yr,13/03/2013,25/01/2022,2022,3240,,,,1
Male,E752_d1,13/03/2013,17/03/2013,2013,4,,,,1
Male,E752_d15,13/03/2013,26/03/2013,2013,13,,,,1
Male,E752_d170,13/03/2013,10/09/2013,2013,181,,,,1
Male,E752_d30,13/03/2013,10/04/2013,2013,28,,,,1
Male,E752_d365,13/03/2013,20/03/2014,2014,372,,,,1
Male,E904,28/06/2013,19/06/2018,2018,1817,Old,Constant,,2
Male,E915,28/06/2013,18/06/2018,2018,1816,Old,Normal,,2
Male,E925,29/06/2013,20/06/2018,2018,1817,Old,Constant,,2
Female,E926,29/06/2013,19/06/2018,2018,1816,Old,Constant,,2
Female,E929_8yr,28/06/2013,04/02/2022,2022,3143,,,,1
Female,E929_D170,28/06/2013,07/01/2014,2014,193,,,,1
Female,E929_D30,28/06/2013,29/07/2013,2013,31,,,,1
Female,E929_D365,28/06/2013,11/07/2014,2014,378,,,,1
Male,E974,30/06/2013,21/06/2018,2018,1817,Old,Normal,,2
Male,E976,30/06/2013,20/06/2018,2018,1816,Old,Normal,,2
Male,E989,30/06/2013,19/06/2018,2018,1815,Old,Constant,,2
Male,E992,30/06/2013,21/06/2018,2018,1817,Old,Constant,,2
Female,H007,30/06/2013,21/06/2018,2018,1817,Old,Constant,,2
Male,H022,01/07/2013,21/06/2018,2018,1816,Old,Normal,,2
Male,H026,30/06/2013,18/06/2018,2018,1814,Old,Constant,,2
Female,H062,02/07/2013,21/06/2018,2018,1815,Old,Constant,,2
Male,H088,02/07/2013,19/06/2018,2018,1813,Old,Constant,,2
Female,H096,03/07/2013,18/06/2018,2018,1811,Old,Normal,,2
Male,H108,03/07/2013,18/06/2018,2018,1811,Old,Normal,,2
Male,h125_D1,04/07/2013,05/07/2013,2013,1,,,,1
Male,h18_D1,30/06/2013,30/06/2013,2013,0,,,,1
Female,H315,09/04/2014,14/01/2020,2020,2106,Old,Normal,,2
Female,H319,08/04/2014,14/01/2020,2020,2107,Old,Constant,,2
Female,H341,09/04/2014,14/01/2020,2020,2106,Old,Normal,,2
Male,H353,09/04/2014,15/01/2020,2020,2107,Old,Normal,,2
Female,H354,08/04/2014,14/01/2020,2020,2107,Old,Normal,,2
Female,H367,09/04/2014,15/01/2020,2020,2107,Old,Constant,,2
Male,H375,09/04/2014,14/01/2020,2020,2106,Old,Normal,,2
