ring,mat_age,treatment,sex,nest,actual_age,eAge_dbscan_nf,eAge_dbscan_r201,eAge_dbscan_730_1,eAge_dbscan_730_4
K841,Young,CORT,M,K628-K494,29,50.54615222,51.70772212,62.70232936,48.93653002
K842,Young,CORT,F,K628-K494,29,31.98960556,32.80106656,47.6130346,43.84642001
K843,Young,CORT,F,K532-K489,30,27.88201934,25.4829067,29.00392487,29.91923975
K844,Young,CORT,F,K532-K489,30,40.39580195,34.26473747,29.79341282,38.20147895
K845,Young,CORT,F,K514-K535,30,31.76264565,36.97136148,33.65019234,34.15341662
K846,Young,CORT,M,K514-K535,30,68.88141507,63.62607897,57.71364949,62.36182891
K848,Young,CNTRL,F,K569-K503,30,62.96455529,36.23776716,48.11224017,50.10249091
K849,Young,CNTRL,F,K569-K503,30,44.98918094,38.20044353,26.91335418,34.92983328
K850,Young,CNTRL,F,K504-K516,29,46.17663223,46.17591605,26.81027018,32.01451407
K851,Young,CORT,M,K647-K484,29,61.26985538,48.14439402,44.80077161,50.65320959
K852,Young,CORT,F,K647-K484,29,23.03684092,26.21596286,20.61127996,20.48472731
K853,Young,CORT,M,K647-K484,29,32.64213623,19.71378091,33.17609518,34.13829179
K855,Young,CNTRL,M,K601-K507,29,26.23168722,15.42977729,25.31681984,23.03729243
K856,Young,CNTRL,M,K601-K507,29,32.11376001,32.41570578,34.0577584,31.4744012
K858,Young,CNTRL,M,K496-K565,28,35.35809592,45.31198021,22.99027629,25.8813335
K859,Young,CNTRL,M,K496-K565,28,28.24835744,21.92724204,17.54722022,21.61431681
K862,Young,CNTRL,F,K624-K607,29,20.06183659,12.08488474,20.13216044,22.34124298
K863,Young,CNTRL,M,K624-K607,29,17.03849737,21.68539683,13.89688282,12.62197456
K865,Old,CORT,F,H985-K612,29,77.05365358,82.95768628,74.90241664,82.41792785
K866,Old,CORT,M,H985-K612,29,89.29449865,90.33261952,52.90797783,71.82141317
K868,Young,CORT,M,K599-K542,29,22.65324732,20.33392583,16.81633432,20.8220393
K869,Young,CNTRL,M,K631-K538,28,79.80718489,64.54747198,50.82556233,57.45220457
K870,Young,CNTRL,M,K631-K538,28,28.99985616,28.31409187,23.78176095,24.9450251
K871,Young,CORT,F,K509-K571,28,59.04285989,74.32010549,58.57741232,56.37798212
K872,Young,CORT,M,K509-K571,28,26.84339405,31.02065553,30.14533341,33.59927631
K873,Young,CORT,M,K509-K571,28,34.94985737,35.84691472,20.40708197,28.44576223
K874,Old,CORT,M,H598-K608,28,17.81384539,11.55163301,15.91715045,18.3063109
K875,Old,CORT,M,H598-K608,28,21.02043999,20.20995955,19.81852597,24.8163051
K876,Young,CNTRL,F,K562-K611,28,34.44010004,38.30271862,32.26243706,28.16770573
K877,Young,CNTRL,M,K562-K611,28,52.96057562,43.96818583,27.72368046,24.49887387
K879,Young,CNTRL,F,K490-K511,30,38.44565528,33.61660406,32.04261463,28.76776301
K883,Young,CORT,F,K513-K645,30,19.02284832,14.96608583,22.31224873,21.55085643
K888,Young,CNTRL,F,K638-K642,29,8.326115195,7.437520308,13.78551751,15.55144528
K890,Old,CNTRL,F,K337-K641,29,26.25728884,35.12690603,26.71479144,25.05972621
K891,Old,CNTRL,M,K337-K641,29,29.69369762,24.38532874,22.21264435,22.79655759
K892,Old,CNTRL,M,K337-K641,29,38.44517209,31.73527737,30.88610759,37.82221543
K893,Old,CNTRL,F,K337-K641,29,19.74374203,19.87423013,22.39444573,20.28191138
K894,Young,CNTRL,F,K528-K523,29,16.98355882,20.09389981,22.60707145,18.7227648
K895,Young,CNTRL,M,K528-K523,29,17.37483591,11.20783478,21.05347735,17.88450824
K896,Young,CNTRL,F,K528-K523,29,17.83335553,13.46043249,20.07749303,17.31503766
K898,Young,CORT,M,K574-K579,29,12.52352865,10.76063981,24.86700845,18.53464289
K899,Old,CORT,M,K342-K549,29,15.13884705,6.295457267,17.6730927,20.44013074
K902,Young,CORT,F,K631-K625,28,35.21933632,41.22713779,25.35086257,28.14637853
K904,Young,CORT,M,K631-K625,28,37.57499949,43.9111765,35.76508479,30.85360991
K905,Young,CORT,M,K631-K625,28,39.5193627,47.25443226,40.36202453,38.05169133
K906,Young,CORT,F,K631-K625,28,41.60673305,54.1091158,41.08285193,28.18872311
K907,Old,CNTRL,M,K204-K588,28,18.55866565,21.5955284,17.10995764,15.15028766
K908,Old,CNTRL,M,K204-K588,28,33.96518145,30.7351019,24.27009145,20.34713832
K909,Old,CNTRL,M,K204-K588,28,25.39617643,33.76524618,14.58883983,16.4535531
K911,Young,CNTRL,F,K631-K538,28,21.24877676,22.41525108,24.47756207,19.66921214
K912,Old,CORT,M,K044-K578,31,55.10847406,64.83620754,46.57749018,53.84886983
K914,Old,CORT,M,K044-K578,31,53.14962022,44.10511335,53.31093484,54.15140826
K916,Old,CORT,F,K047-K563,30,63.0316593,67.15345668,40.52993855,41.2159316
K917,Old,CORT,F,K047-K563,30,31.4639319,35.0294142,26.16665524,33.54865004
K918,Old,CORT,F,K342-K549,29,23.23290726,18.31199688,27.96327557,25.14422675
K919,Old,CNTRL,M,K094-K595,30,26.72313099,23.33179636,22.72727247,24.94826655
K920,Old,CNTRL,F,K094-K595,30,23.58254585,26.15108536,20.99748824,20.6761253
K921,Old,CNTRL,M,K094-K595,30,18.13288781,11.0337099,26.24992456,24.62241069
K922,Young,CNTRL,F,K490-K511,30,15.06942983,13.19859068,18.6646319,17.02332386
K923,Old,CORT,M,K219-K634,29,59.45157786,50.58088449,37.85008829,43.68488368
