Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	E246_2YR	E246_8yr	E246_D15	E246_D170	E246_D30	E246_D365	E264_2yr	E264_8yr	E264_d15	E264_d170	E264_d30	E264_d365	E607_8yr	E607_d20	E607_d40	E607_d90	E752_2yr	E752_8yr	E752_d15	E752_d170	E752_d1	E752_d30	E752_d365	E929_8yr	E929_D170	E929_D30	E929_D365	H451_D1	H453_D1	H485_D1	d088_5YR	h125_D1	h18_D1	h95_D1	z049_2YR	z049_3YR	z049_4YR	z049_5YR	z049_D170	z049_D365	z175_3YR	z175_4YR	z175_5YR	z237_3YR	z237_4YR	z237_5YR	z312_2YR	z312_3YR	z312_4YR	z458_3YR	z458_4YR	z458_5YR	E253	E486	E494	E604	E612	E623	E740	E915	E974	E976	H022	H096	H108	H315	H341	H353	H354	H375	H407	H459	H464	H485	H505	H621	H784	H786	H787	H905	H910	H914	H919	H921	H953	H958	K343	K346	K353	K358	K369	K377	K386	K388	K395	K407	K413	K419	K422
Chr1:19573790-19573790	1	19573790	19573790		null					Not found	0	87.66815948486328	88.3041000366211	88.31169128417969	89.6551742553711	87.39946746826172	88.64864349365234	92.06565856933594	89.59608459472656	88.80455780029297	90.60465240478516	90.45801544189453	90.0	85.88235473632812	88.36206817626953	88.9570541381836	86.15794372558594	84.98294067382812	87.12205505371094	82.05128479003906	85.51724243164062	84.55882263183594	83.10539245605469	81.76420593261719	86.39456176757812	88.23529815673828	89.31788635253906	88.0952377319336	90.53398132324219	91.60545349121094	85.0	90.08961486816406	91.22340393066406	87.71929931640625	86.97850799560547	90.70048522949219	89.6640853881836	90.46610260009766	89.44246673583984	90.61135864257812	90.77922058105469	91.76776123046875	92.2131118774414	91.45466613769531	90.78711700439453	91.81140899658203	92.39881896972656	92.67605590820312	91.9681625366211	93.4990463256836	90.64588165283203	88.93956756591797	90.0647964477539	95.54896545410156	89.37677001953125	91.74528503417969	87.29903411865234	92.61363983154297	91.3738021850586	92.85713958740234	89.20764923095703	89.8236083984375	92.37918090820312	86.42472839355469	91.62735748291016	88.8888931274414	91.68421173095703	88.4555435180664	92.9611587524414	91.9098129272461	86.59058380126953	82.8475341796875	94.68267822265625	86.76716613769531	83.46368408203125	83.15629577636719	88.15165710449219	88.95613098144531	84.63855743408203	89.13525390625	91.20111083984375	88.39458465576172	87.5999984741211	90.35202026367188	92.30769348144531	92.45585632324219	91.43356323242188	89.3348617553711	90.04524993896484	89.21985626220703	90.24707794189453	88.54489135742188	89.010986328125	85.61354064941406	86.93917846679688	93.01074981689453	91.68765258789062	91.4772720336914	86.42972564697266	84.72803497314453
Chr1:19573800-19573800	1	19573800	19573800		null					Not found	0	75.0	72.13114166259766	78.08041381835938	75.391845703125	72.52010345458984	76.35134887695312	88.3720932006836	86.41371154785156	84.46969604492188	88.18605041503906	87.53180694580078	85.68507385253906	78.3289794921875	79.31034851074219	79.4478530883789	78.26087188720703	82.91571807861328	82.62332153320312	88.3940658569336	83.0888671875	83.45588684082031	89.30007934570312	81.64128875732422	85.39130401611328	87.80207061767578	87.54914855957031	84.39252471923828	78.15534210205078	84.45873260498047	87.83783721923828	75.38218688964844	81.74603271484375	87.05036163330078	73.82465362548828	76.05984497070312	79.6833724975586	75.78718566894531	78.90909576416016	78.91231536865234	78.01324462890625	76.0173110961914	74.84662628173828	76.50130462646484	74.2727279663086	75.53594207763672	75.76065063476562	76.234130859375	75.27114868164062	77.93696594238281	72.62313842773438	70.39627075195312	68.75	66.07319641113281	75.21246337890625	79.56867218017578	76.848876953125	82.46109771728516	84.38538360595703	77.67503356933594	79.3388442993164	83.47457885742188	79.55390167236328	81.98925018310547	85.73113250732422	80.1775131225586	76.42105102539062	80.90766906738281	68.04374694824219	69.45551300048828	81.47611999511719	71.44457244873047	81.90394592285156	84.02154541015625	77.89473724365234	76.93474578857422	72.65501403808594	67.51879119873047	65.31531524658203	67.98246002197266	85.3963851928711	77.04280090332031	85.5999984741211	82.57477569580078	78.3882827758789	83.77049255371094	84.79853057861328	81.00686645507812	76.31976318359375	81.20516204833984	77.96610260009766	78.79257202148438	69.01408386230469	75.7102279663086	77.74359130859375	74.30168151855469	75.78947448730469	81.29251861572266	76.93548583984375	76.93920135498047
Chr1:19573811-19573811	1	19573811	19573811		null					Not found	0	76.34529113769531	75.90643310546875	77.2727279663086	72.84143829345703	73.99463653564453	72.83783721923828	87.27770233154297	88.87530517578125	83.71212005615234	88.175048828125	89.18575286865234	89.57054901123047	77.314208984375	74.76313781738281	74.23312377929688	75.51020050048828	75.42662048339844	76.14781951904297	78.57142639160156	75.30120849609375	76.10294342041016	79.3880844116211	76.31134033203125	75.89134216308594	75.56561279296875	74.42160034179688	75.73259735107422	82.42424011230469	77.62605285644531	85.33333587646484	77.68987274169922	86.54353332519531	70.52631378173828	76.48545837402344	75.39203643798828	79.32817077636719	74.15254211425781	75.56346893310547	77.58433532714844	74.67533111572266	79.177490234375	79.83623504638672	80.44328308105469	73.36907958984375	75.21685028076172	75.61698150634766	74.34813690185547	75.32561492919922	73.80496978759766	80.1111068725586	78.90536499023438	78.53290557861328	71.73912811279297	69.5898208618164	80.5902328491211	75.88424682617188	78.35926055908203	67.19745635986328	77.70448303222656	75.03355407714844	69.06377410888672	65.86270904541016	74.19355010986328	70.55359649658203	65.97633361816406	78.02313232421875	69.26676940917969	71.84465789794922	68.65079498291016	80.34188079833984	79.26008605957031	74.78559112548828	75.16666412353516	74.74860382080078	78.72340393066406	61.76935577392578	82.30884552001953	74.47447204589844	78.83771514892578	82.19750213623047	72.83236694335938	76.15230560302734	82.25601959228516	70.45177459716797	71.83999633789062	75.3043441772461	73.79862976074219	71.38554382324219	74.22096252441406	74.55470275878906	74.6522445678711	73.75	74.65564727783203	78.9631118774414	75.53763580322266	72.79596710205078	77.57644653320312	74.51612854003906	67.99163055419922
Chr1:19573814-19573814	1	19573814	19573814		null					Not found	0	76.87793731689453	72.41378784179688	73.18059539794922	74.4408950805664	75.59944152832031	75.0	81.9117660522461	80.60685729980469	78.13765716552734	81.74442291259766	82.68156433105469	83.54978942871094	79.06666564941406	78.5400161743164	78.8643569946289	79.34485626220703	87.94084167480469	88.57782745361328	78.3633804321289	88.46815490722656	90.80882263183594	79.43614959716797	87.14044189453125	74.65986633300781	71.16912841796875	74.80719757080078	72.13565826416016	83.01404571533203	76.60021209716797	73.24414825439453	74.2751693725586	81.23324584960938	65.1408462524414	90.39190673828125	78.98550415039062	76.614990234375	78.17796325683594	77.90973663330078	78.5403060913086	78.1534423828125	78.48046112060547	79.52429962158203	79.94722747802734	78.2841796875	83.89095306396484	83.61302947998047	80.63127136230469	81.33724975585938	80.01939392089844	76.57657623291016	73.31787109375	78.49345397949219	75.99142456054688	69.50146484375	81.51476287841797	81.09028625488281	83.2853012084961	66.87898254394531	87.0165786743164	70.79772186279297	64.92957305908203	74.95108032226562	82.73480224609375	79.80884552001953	79.67359161376953	85.68421173095703	74.54545593261719	77.27855682373047	74.40828704833984	78.60199737548828	85.66629028320312	80.3095474243164	72.33333587646484	71.60775756835938	79.14012908935547	79.23930358886719	84.4936752319336	78.32817077636719	85.92057800292969	85.1370849609375	80.53949737548828	83.18965148925781	81.64893341064453	78.96039581298828	77.60000610351562	73.56521606445312	82.42142486572266	77.13414764404297	71.99433898925781	79.23280334472656	76.3523941040039	74.13793182373047	73.51663970947266	67.94742584228516	70.43010711669922	67.25440979003906	80.97395324707031	79.80133056640625	63.4782600402832
Chr1:19573823-19573823	1	19573823	19573823		null					Not found	0	63.452919006347656	62.573097229003906	61.60830307006836	61.912227630615234	66.17449188232422	66.21621704101562	79.34336853027344	77.47858428955078	74.19355010986328	79.6279067993164	78.49872589111328	77.95918273925781	55.01955795288086	54.52196502685547	54.601226806640625	54.26287841796875	57.67918395996094	59.977577209472656	61.18598556518555	60.8433723449707	68.38235473632812	63.70967483520508	61.049957275390625	62.308998107910156	59.72850799560547	61.31105422973633	60.347984313964844	54.975730895996094	69.70649719238281	52.0	67.45561981201172	55.145118713378906	74.03508758544922	68.7737045288086	62.655086517333984	62.650604248046875	60.39603805541992	62.83292770385742	62.224666595458984	59.83935546875	56.75324630737305	56.952964782714844	57.62711715698242	59.92844009399414	65.4275131225586	67.52220916748047	63.747310638427734	62.73932647705078	59.746585845947266	59.33333206176758	56.89851760864258	59.199134826660156	66.00790405273438	60.53748321533203	66.93182373046875	59.485530853271484	71.34503173828125	74.52229309082031	50.0	66.75603485107422	71.77747344970703	63.450836181640625	49.73118209838867	65.76470947265625	78.4023666381836	61.198734283447266	58.90625	69.05339813232422	65.47618865966797	57.63195037841797	54.311309814453125	59.1259651184082	54.833335876464844	62.346370697021484	65.50151824951172	50.632911682128906	51.72413635253906	64.36090087890625	62.17105484008789	61.47426986694336	66.47399139404297	52.90581130981445	57.034217834472656	55.67765808105469	61.76000213623047	64.51049041748047	68.87871551513672	61.689292907714844	55.30410385131836	68.02547454833984	55.57275390625	53.59375	56.68965530395508	63.50947189331055	77.41934967041016	71.27937316894531	50.0	58.80452346801758	56.27614974975586
Chr1:19573838-19573838	1	19573838	19573838		null					Not found	0	76.90583038330078	75.55555725097656	75.48638153076172	75.51020050048828	76.54155731201172	75.23680877685547	77.56497955322266	79.95110321044922	76.13636016845703	80.65116119384766	82.69720458984375	78.7755126953125	79.59732055664062	80.15943145751953	72.64151000976562	79.4409408569336	81.68373107910156	81.07502746582031	85.71428680419922	81.5834732055664	86.39705657958984	87.68115997314453	82.6565170288086	82.9565200805664	79.95365142822266	76.60131072998047	76.42124938964844	78.34158325195312	85.74423217773438	85.2842788696289	77.59620666503906	79.15567016601562	81.75438690185547	78.76106262207031	77.08082580566406	77.8783950805664	74.3644027709961	75.80071258544922	76.278564453125	76.26458740234375	76.36849212646484	75.29161834716797	75.58528137207031	85.8802490234375	87.85625457763672	86.67324829101562	79.92958068847656	78.09111022949219	81.66189575195312	79.55554962158203	79.27107238769531	81.66127014160156	80.6132583618164	84.15841674804688	79.43182373046875	83.00653839111328	80.05657958984375	72.92993927001953	81.37384796142578	84.04825592041016	84.9593505859375	82.85714721679688	84.38761901855469	77.50294494628906	79.17282104492188	83.4910659790039	84.84375	75.79075622558594	82.38410186767578	78.38235473632812	88.10623168945312	72.88578796386719	81.5	82.4137954711914	69.30091094970703	84.17721557617188	85.15742492675781	72.89157104492188	81.66849517822266	83.14763641357422	81.31021118164062	83.0	79.97432708740234	75.82418060302734	87.22045135498047	83.3043441772461	85.46910858154297	77.07390594482422	80.62234497070312	82.31552124023438	76.81607818603516	80.78125	82.36914825439453	82.8685302734375	82.25806427001953	82.1158676147461	76.21744537353516	83.44481658935547	76.77824401855469
Chr1:19573849-19573849	1	19573849	19573849		null					Not found	0	75.56053924560547	74.3859634399414	74.5784683227539	70.64363861083984	75.60321807861328	72.97296905517578	76.42163848876953	77.48756408691406	72.3938217163086	77.04609680175781	76.0	73.69519805908203	71.57757568359375	72.95435333251953	73.92638397216797	67.64444732666016	69.28327941894531	68.75699615478516	81.2841567993164	70.2237548828125	80.14705657958984	83.4697265625	71.4043960571289	80.61224365234375	80.88235473632812	79.69152069091797	79.02930450439453	70.38834381103516	70.40169525146484	82.66666412353516	72.67876434326172	78.62796783447266	82.10526275634766	68.7737045288086	72.9794921875	75.93790435791016	74.15254211425781	71.88612365722656	73.12296295166016	73.37662506103516	79.09996032714844	80.06135559082031	80.87467193603516	70.95621490478516	70.47146606445312	67.818359375	71.76056671142578	71.12879943847656	72.20630645751953	66.62921142578125	68.4271011352539	71.17903900146484	80.98663330078125	77.3691635131836	70.7622299194336	67.36334228515625	65.07246398925781	76.1146469116211	66.7546157836914	74.93297576904297	69.4708251953125	58.36501693725586	65.05376434326172	75.97172546386719	67.06056213378906	69.26361083984375	76.28704833984375	76.31578826904297	74.80106353759766	73.0	70.9049301147461	71.15879821777344	68.0	79.77653503417969	67.38794708251953	63.3491325378418	76.2406005859375	69.92366027832031	71.92982482910156	73.45767974853516	69.3641586303711	50.400001525878906	70.21546173095703	73.71638488769531	69.64856719970703	62.7177734375	78.19025421142578	74.4976806640625	72.42857360839844	73.66412353515625	74.80680084228516	63.84976577758789	72.31404876708984	77.39044189453125	73.38710021972656	73.29975128173828	68.85057830810547	78.19062805175781	76.56903839111328
Chr1:19573853-19573853	1	19573853	19573853		null					Not found	0	75.3363265991211	75.2637710571289	72.89234924316406	75.51020050048828	72.08053588867188	76.45466613769531	76.88098907470703	79.31456756591797	76.89393615722656	77.6635513305664	79.61783599853516	77.30061340332031	88.20375061035156	88.1355972290039	87.69715881347656	86.89276123046875	86.3481216430664	84.19282531738281	81.8059310913086	85.11187744140625	88.97058868408203	83.46774291992188	85.0126953125	85.22920227050781	82.6727066040039	84.16988372802734	83.31805419921875	81.3432846069336	71.69811248779297	85.66667175292969	89.8734130859375	83.96501159667969	79.64912414550781	86.83544158935547	79.13148498535156	77.74903106689453	74.47034454345703	77.67221069335938	74.75516510009766	75.48638153076172	81.81818389892578	80.70906829833984	81.40939331054688	87.29874420166016	90.3345718383789	86.1796646118164	69.2957763671875	69.24746704101562	67.90830993652344	86.8888931274414	87.24373626708984	87.48651885986328	83.00395202636719	75.38896942138672	85.45454406738281	83.27973937988281	91.79631805419922	86.58146667480469	84.80845642089844	84.2530288696289	83.7177734375	83.27137756347656	82.1236572265625	81.75355529785156	82.0395736694336	78.9695053100586	82.21529388427734	79.60928344726562	77.55644226074219	73.42857360839844	87.01007843017578	84.29084777832031	80.63439178466797	89.3854751586914	78.75569152832031	81.05436706542969	89.95501708984375	86.15384674072266	85.19737243652344	79.69402313232422	80.53949737548828	84.96994018554688	89.37823486328125	81.80708312988281	81.15016174316406	86.41114807128906	79.74828338623047	76.95783233642578	74.96463775634766	85.10911560058594	78.51622772216797	82.34375	86.91459655761719	82.17131805419922	84.13978576660156	79.09320068359375	79.04869842529297	86.45161437988281	74.26778411865234
Chr1:19573856-19573856	1	19573856	19573856		null					Not found	0	84.62401580810547	86.31578826904297	84.95460510253906	87.6175537109375	83.08724975585938	84.8648681640625	84.81532287597656	84.96332550048828	85.03787994384766	85.30232238769531	85.60509490966797	83.06122589111328	90.2144775390625	90.28520202636719	88.01261901855469	89.09257507324219	78.83958435058594	78.45117950439453	82.61455535888672	77.02237701416016	81.61764526367188	87.0474624633789	79.17019653320312	89.47368621826172	88.8009033203125	88.04627227783203	87.17948913574219	80.32378387451172	84.05036926269531	86.33333587646484	89.34599304199219	86.29737854003906	89.12281036376953	80.78382110595703	90.5797119140625	91.47286987304688	89.18345642089844	91.10320281982422	90.85962677001953	92.60700225830078	91.08822631835938	91.44049835205078	91.95171356201172	86.6726303100586	87.23667907714844	87.9565658569336	91.5492935180664	89.58785247802734	91.8815689086914	90.22222137451172	91.91343688964844	91.90938568115234	89.02076721191406	84.4413070678711	81.49829864501953	88.26366424560547	88.68458557128906	78.98089599609375	83.61955261230469	83.62416076660156	94.02173614501953	83.4879379272461	83.73655700683594	87.4117660522461	79.29985046386719	76.21052551269531	84.6875	88.47087860107422	87.1693115234375	91.31053924560547	88.24188232421875	88.17204284667969	87.66666412353516	92.40222930908203	79.0591812133789	81.71334075927734	86.05696868896484	82.46153259277344	85.74561309814453	84.42280578613281	81.11753845214844	86.19999694824219	84.9206314086914	91.57508850097656	88.80000305175781	91.30435180664062	82.95194244384766	82.3795166015625	86.42150115966797	84.86005401611328	90.26275634765625	77.34375	80.30303192138672	84.24725341796875	91.12903594970703	83.83838653564453	85.14739227294922	89.03225708007812	85.98326110839844
Chr1:19573865-19573865	1	19573865	19573865		null					Not found	0	80.6451644897461	78.9916000366211	79.83978271484375	78.45658874511719	80.05540466308594	80.30941772460938	85.1739730834961	86.31578826904297	83.95061492919922	83.14606475830078	83.26360321044922	82.33995056152344	87.73448944091797	84.61538696289062	86.37873840332031	85.26211547851562	88.7559814453125	90.34564971923828	84.69242095947266	87.21461486816406	85.09803771972656	85.40773010253906	84.91920471191406	79.63636779785156	80.26634216308594	80.97826385498047	80.41338348388672	85.05155181884766	80.25750732421875	74.0740737915039	85.187255859375	85.44891357421875	79.45736694335938	85.14588928222656	82.61455535888672	81.27600860595703	82.66509246826172	80.67884826660156	83.0952377319336	83.33332824707031	86.19843292236328	86.26126098632812	88.84088897705078	80.97050476074219	82.85340118408203	82.86311340332031	84.86841583251953	84.71289825439453	84.39024353027344	80.84862518310547	79.33491516113281	77.51677703857422	81.65235900878906	86.61870574951172	83.7995376586914	84.18367767333984	89.69230651855469	79.67742156982422	84.19618225097656	81.18279266357422	79.32551574707031	86.23326873779297	87.39254760742188	83.79685974121094	80.62397003173828	81.85993194580078	86.05015563964844	80.45515441894531	78.89039611816406	76.06461334228516	85.97914123535156	88.62384796142578	70.6293716430664	80.32221221923828	78.02013397216797	80.66116333007812	84.3797836303711	79.77527618408203	83.23699188232422	82.9302978515625	83.72093200683594	81.61156463623047	82.89290618896484	82.28022003173828	78.9649429321289	76.28083038330078	80.57471466064453	76.01810455322266	73.86707305908203	82.26666259765625	85.75851440429688	69.03973388671875	81.51724243164062	78.64476776123047	77.67857360839844	78.11705017089844	79.64285278320312	84.86956024169922	76.27494049072266
