Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	E246_2YR	E246_8yr	E246_D15	E246_D170	E246_D30	E246_D365	E264_2yr	E264_8yr	E264_d15	E264_d170	E264_d30	E264_d365	E607_8yr	E607_d20	E607_d40	E607_d90	E752_2yr	E752_8yr	E752_d15	E752_d170	E752_d1	E752_d30	E752_d365	E929_8yr	E929_D170	E929_D30	E929_D365	H451_D1	H453_D1	H485_D1	d088_5YR	h125_D1	h18_D1	h95_D1	z049_2YR	z049_3YR	z049_4YR	z049_5YR	z049_D170	z049_D365	z175_3YR	z175_4YR	z175_5YR	z237_3YR	z237_4YR	z237_5YR	z312_2YR	z312_3YR	z312_4YR	z458_3YR	z458_4YR	z458_5YR	E253	E486	E494	E604	E612	E623	E740	E915	E974	E976	H022	H096	H108	H315	H341	H353	H354	H375	H407	H459	H464	H485	H505	H621	H784	H786	H787	H905	H910	H914	H919	H921	H953	H958	K343	K346	K353	K358	K369	K377	K386	K388	K395	K407	K413	K419	K422
34799..34816	1	34799	34816		null					Not found	0	0.535714328289032	0.3921568989753723	0.0	0.7692307829856873	0.20000000298023224	0.3448275923728943	0.0	0.46315789222717285	0.0	0.2531645596027374	0.0	0.6666666865348816	0.29411762952804565	0.37974682450294495	0.0	0.222222238779068	0.47860363125801086	0.5498477816581726	0.3030303120613098	0.4426840543746948	0.0	0.16393442451953888	0.3076923191547394	0.0	0.3448275923728943	0.5555555820465088	0.1587301790714264	1.0	0.0	0.7692307829856873	0.4716981053352356	0.0	0.0	0.17543859779834747	0.2380952388048172	0.2083333432674408	0.0	0.0	1.2023810148239136	0.0	0.9298850297927856	0.0	0.0	0.0	0.5357142686843872	0.0	0.0	0.19230769574642181	1.25	1.1172901391983032	0.0	0.2857142984867096	0.2380952388048172	0.0	0.0	0.0	0.40816324949264526	0.29411762952804565	0.0	0.4000000059604645	0.3333333432674408	0.2631579041481018	0.800000011920929	0.29411762952804565	0.20000000298023224	0.0	0.0	0.3125	0.5416666865348816	0.27027028799057007	0.25	0.2531645596027374	0.559440553188324	0.5252525210380554	0.0	0.3333333432674408	0.0	0.25641027092933655	0.3571428656578064	0.2380952388048172	0.25641027092933655	1.612903118133545	0.29411762952804565	0.5829228162765503	0.0	1.1764705181121826	0.37037035822868347	0.27027028799057007	0.22727271914482117	0.0	0.0	0.5	0.7692307829856873	0.3205128312110901	0.0	0.5128205418586731	1.6620689630508423	0.444444477558136	0.5341880321502686
34823..34835	1	34823	34835		null					Not found	0	0.0	0.5228758454322815	0.3378378450870514	0.3205128312110901	0.25	0.0	0.0	0.0	0.0	0.18382352590560913	0.22727271914482117	0.8333333730697632	0.36764705181121826	0.1582278460264206	0.625	0.16233766078948975	0.3378378450870514	0.0	0.390625	0.0	0.3378378450870514	0.0	0.18382352590560913	1.470588207244873	0.26595744490623474	0.0	0.3968254327774048	0.0	0.24038462340831757	0.0	0.3548966646194458	0.7142857313156128	0.4166666865348816	0.0	0.7286535501480103	0.5208333730697632	0.0	0.390625	0.0	0.46296295523643494	0.9310344457626343	0.0	0.0	0.6666666865348816	0.3571428656578064	0.0	0.16025641560554504	0.8012820482254028	0.390625	0.5624368190765381	0.2976190447807312	0.0	0.0	0.2976190447807312	0.5566551089286804	0.0	0.0	0.78125	0.0	0.3571428656578064	0.0	0.32894736528396606	0.3205128312110901	0.7247899174690247	1.0	1.5338828563690186	0.0	0.390625	0.0	0.3378378450870514	0.3125	0.2976190447807312	0.3125	0.5555555820465088	0.0	0.0	0.0	0.3205128312110901	0.0	0.0	0.3205128312110901	1.612903118133545	0.36764705181121826	0.0	0.0	0.0	0.0	0.0	0.0	0.347222238779068	0.5555555820465088	0.4166666865348816	0.4464285969734192	0.4746835231781006	0.0	0.5208333730697632	0.0	0.0	0.0
34842..34850	1	34842	34850		null					Not found	0	0.45045045018196106	0.37037038803100586	0.6172839403152466	0.9259259700775146	0.0	0.5747126340866089	0.0	0.694444477558136	0.0	0.6670389771461487	0.7848324775695801	0.0	0.0	0.3401360511779785	3.598484754562378	0.43290042877197266	0.0	0.4166666567325592	0.0	0.5125815272331238	0.45045045018196106	0.27322402596473694	0.2450980395078659	0.0	0.0	0.5376343727111816	0.2645502984523773	0.0	0.0	0.5747126340866089	0.15723270177841187	0.0	0.4629629850387573	0.0	0.5747126340866089	0.9293225407600403	0.5050504803657532	0.3401360511779785	0.0	0.0	0.8582375645637512	0.0	0.4166666567325592	0.0	0.4166666567325592	0.7751937508583069	0.32679739594459534	0.0	0.0	0.0	0.0	0.4629629850387573	0.0	0.0	0.0	0.0	0.3401360511779785	0.9803921580314636	0.0	0.3333333432674408	0.4385964870452881	0.0	0.0	0.9663865566253662	0.5747126340866089	0.5952381491661072	0.0	0.0	0.6666666865348816	0.0	0.4166666567325592	1.4948172569274902	0.5050504803657532	1.2820513248443604	0.347222238779068	0.5555555820465088	0.0	0.0	0.0	0.3968254029750824	0.735992431640625	1.0752687454223633	0.0	0.5747126340866089	1.2820513248443604	0.0	0.0	0.0	0.4065040349960327	0.0	0.5208333134651184	0.5952381491661072	0.0	0.0	0.0	0.0	0.0	0.45045045018196106	0.0
303807..303819	1	303807	303819		null					Not found	0	1.0228979587554932	0.6410256624221802	0.0	0.54347825050354	0.7575757503509521	0.390625	0.6494601964950562	0.78125	0.0	0.23148147761821747	0.0	0.0	0.0	0.0	0.0	0.27173912525177	0.3787878751754761	1.0366826057434082	1.704545497894287	0.347222238779068	3.0059523582458496	0.2976190447807312	0.0	0.5	0.3571428656578064	1.2620192766189575	0.650337815284729	0.0	0.0	0.0	0.17605634033679962	0.78125	0.3125	0.3571428656578064	0.0	0.0	0.347222238779068	0.43103447556495667	0.0	0.4166666865348816	0.6506534814834595	1.3392858505249023	0.2604166865348816	0.8295339345932007	0.0	1.171875	0.27173912525177	0.0	1.2202380895614624	0.3125	0.0	0.5	0.7148692607879639	0.48076924681663513	0.9343434572219849	0.46296295523643494	0.36764705181121826	0.0	0.0	0.0	0.6097560524940491	0.0	0.4464285969734192	0.9627727270126343	0.7352941036224365	0.0	0.0	0.0	0.2849003076553345	0.0	1.5395894050598145	0.5208333730697632	0.390625	0.30487802624702454	0.0	0.0	0.0	0.0	0.78125	0.0	0.0	0.5	0.0	0.0	2.0	0.5	0.48076924681663513	0.0	0.0	0.0	0.3205128312110901	0.43103447556495667	0.0	0.34246575832366943	1.32472825050354	0.0	0.0	0.0	0.0
303836..303843	1	303836	303843		null					Not found	0	0.45045045018196106	0.4273504316806793	0.0	0.694444477558136	0.0	0.0	0.0	0.0	0.0	0.3401360511779785	0.0	0.0	0.0	0.0	1.2820513248443604	0.0	0.5050504803657532	0.0	0.0	0.0	2.3809523582458496	0.4166666567325592	1.0416667461395264	0.4166666567325592	0.5208333134651184	0.6410256624221802	0.0	0.8333333134651184	0.4065040349960327	0.0	0.23474179208278656	0.0	1.3333333730697632	0.0	0.5376343727111816	0.0	1.574074149131775	0.0	0.0	0.0	0.3401360511779785	0.0	0.0	0.0	1.5512264966964722	0.5208333134651184	0.0	0.0	0.8333333134651184	0.8333333134651184	1.0416666269302368	0.6172839403152466	0.4629629850387573	0.0	0.0	0.0	0.4761904776096344	0.45045045018196106	0.0	0.5050504803657532	0.0	0.0	0.0	0.0	0.8870214819908142	0.0	0.0	0.0	0.0	0.0	1.1363636255264282	0.0	0.0	0.0	0.0	0.0	0.0	1.2820513248443604	0.0	0.0	0.0	0.0	0.5208333134651184	1.9394713640213013	0.0	0.0	0.0	0.0	0.0	0.0	1.4492753744125366	1.1123470067977905	0.0	0.0	0.0	1.1460762023925781	0.0	0.6410256624221802	0.0
807813..807847	1	807813	807847		null					Not found	0	0.20000000298023224	0.0	0.4941176474094391	0.8101851940155029	0.30180180072784424	0.5329457521438599	0.35256412625312805	0.3053613007068634	0.32258063554763794	0.2650032639503479	0.3761339783668518	0.0	0.0	0.45092839002609253	0.6787330508232117	0.3883861303329468	0.1428571492433548	0.09615384787321091	0.3030303120613098	0.46936115622520447	0.5263158082962036	0.385026752948761	0.4642857313156128	0.4876847267150879	0.1190476194024086	0.36616161465644836	0.38846156001091003	0.5769230723381042	0.1315789520740509	0.21739129722118378	0.46153849363327026	0.5641821622848511	0.11627906560897827	0.4096989929676056	0.20673486590385437	0.27027028799057007	0.369047611951828	0.3282051384449005	0.22727271914482117	0.11363635957241058	0.18668152391910553	0.44763514399528503	0.17879948019981384	0.28985506296157837	0.1388888955116272	0.19607844948768616	0.6456819772720337	0.7803030610084534	0.29857397079467773	0.3524436056613922	0.43498820066452026	0.3986729681491852	0.6009852290153503	0.0	0.10638298094272614	0.0	0.1785714328289032	0.20000000298023224	0.1785714328289032	0.0	0.5303030014038086	0.9866220951080322	0.32258063554763794	0.1515151560306549	0.29411762952804565	0.2631579041481018	0.6155303120613098	1.2196223735809326	0.16129031777381897	0.6818181872367859	0.18518517911434174	0.6622103452682495	0.3229166865348816	0.0	0.7771260738372803	0.5185185074806213	0.44999998807907104	0.0	0.1515151560306549	0.29857397079467773	0.0	0.38461539149284363	0.2777777910232544	0.2083333432674408	0.6666666865348816	0.25	0.6536725759506226	0.14705881476402283	0.27027028799057007	0.43478259444236755	0.1785714328289032	0.6478579044342041	0.7894736528396606	0.26477834582328796	0.0	0.17241379618644714	0.15625	0.3203203082084656	0.38461539149284363
1811821..1811840	1	1811821	1811840		null					Not found	0	1.3655264377593994	1.0491764545440674	1.7316018342971802	1.2121212482452393	1.9363518953323364	0.7371006608009338	1.010101079940796	1.6571362018585205	0.5681818127632141	0.9626338481903076	0.3246753513813019	0.7359307408332825	1.3368983268737793	0.3218272924423218	0.8264462947845459	1.0489511489868164	1.8181818723678589	0.26737967133522034	1.5518083572387695	1.2422360181808472	0.7424242496490479	0.4434589445590973	0.8298368453979492	0.3636363744735718	0.0	0.9479824900627136	0.724169135093689	1.4354066848754883	1.1657522916793823	0.573219895362854	1.113381028175354	1.6042780876159668	0.5952381491661072	0.28409090638160706	0.9698693752288818	0.6934207081794739	1.704545497894287	0.23923444747924805	1.0489510297775269	0.7272727489471436	0.8059244155883789	0.7757295966148376	0.7636189460754395	0.22727273404598236	0.6060606241226196	0.8658009171485901	1.5151515007019043	0.9324009418487549	0.5687372088432312	0.8572568297386169	0.9501466155052185	0.3246753513813019	0.8658008575439453	1.0815047025680542	1.0274841785430908	0.790513813495636	1.4157013893127441	1.5729386806488037	0.6269592642784119	0.3246753513813019	0.5509641766548157	0.31347963213920593	0.31347963213920593	0.22727273404598236	0.5509641766548157	0.5928853750228882	0.31347963213920593	0.8264462947845459	0.0	0.7575758099555969	0.7371007800102234	0.9090909361839294	0.6993007063865662	0.29325512051582336	0.0	1.010101079940796	1.2987014055252075	0.37878790497779846	0.7371007800102234	1.010101079940796	0.0	0.0	0.9763351082801819	2.1645021438598633	3.598484992980957	0.4784688949584961	0.8264462947845459	1.9755245447158813	0.8264462947845459	0.37878790497779846	0.26737967133522034	0.4545454680919647	0.29325512051582336	0.7736943960189819	1.010101079940796	1.1730204820632935	1.8181818723678589	0.3496503531932831	1.3468012809753418
1811941..1811950	1	1811941	1811950		null					Not found	0	0.0	0.3968254029750824	0.5208333134651184	0.5376343727111816	0.0	0.0	0.6060605645179749	0.347222238779068	0.0	0.0	1.1627907752990723	0.4761904776096344	0.0	0.0	1.388888955116272	0.0	0.0	0.6211180090904236	0.8130080699920654	0.5753968358039856	0.0	0.6060605645179749	1.0389703512191772	0.8130080699920654	0.5050504803657532	0.0	0.3030302822589874	0.0	0.0	0.0	0.0	0.4065040349960327	0.0	0.0	0.0	0.38759687542915344	0.0	0.3968254029750824	0.0	0.5208333134651184	0.3587963283061981	0.0	0.0	0.28735631704330444	0.0	0.4273504316806793	0.0	0.8130080699920654	0.0	0.0	0.0	0.5208333134651184	0.0	0.694444477558136	0.0	0.0	0.4629629850387573	1.2001547813415527	0.0	0.0	0.0	1.1111111640930176	0.0	0.7092198729515076	0.0	0.0	0.0	0.0	0.5050504803657532	0.6172839403152466	0.5376343727111816	0.3030302822589874	0.0	0.3333333432674408	0.4629629850387573	0.0	0.0	0.0	1.4028314352035522	0.8771929740905762	0.3787878751754761	2.027777910232544	0.5376343727111816	1.0914760828018188	0.0	0.7246376872062683	1.912238359451294	0.6172839403152466	0.0	0.5747126340866089	0.5208333134651184	0.0	0.0	0.0	0.0	0.0	1.4814815521240234	0.0	0.0
1811964..1811972	1	1811964	1811972		null					Not found	0	0.0	0.0	0.8547008633613586	0.0	0.4065040349960327	0.4901960790157318	0.3030302822589874	0.7440476417541504	0.0	0.20080320537090302	0.0	0.4761904776096344	0.5050504803657532	0.0	0.0	0.6110202074050903	0.0	0.0	0.0	0.0	0.4761904776096344	0.3030302822589874	0.0	0.0	0.0	0.4166666567325592	0.38759687542915344	0.0	0.0	0.0	0.5886076092720032	0.38759687542915344	0.0	0.0	0.0	0.0	1.063829779624939	1.2566137313842773	0.4629629850387573	0.5208333134651184	0.17006802558898926	0.0	0.0	0.5847952961921692	0.0	0.7870370745658875	0.3205128312110901	0.3968254029750824	0.0	0.5376343727111816	0.31446540355682373	0.0	0.0	0.0	0.37037038803100586	0.0	0.0	1.5873016119003296	0.0	2.4666836261749268	0.0	0.0	0.0	0.7092198729515076	0.5208333134651184	0.0	1.612903118133545	0.5952381491661072	1.0101009607315063	0.0	0.5555555820465088	0.3968254029750824	0.0	0.0	0.0	0.9009009003639221	0.0	0.0	0.0	0.0	0.0	2.6666667461395264	0.0	0.0	0.0	0.0	0.7246376872062683	0.0	0.5747126340866089	0.5555555820465088	2.0202019214630127	0.0	0.4629629850387573	0.19379843771457672	0.8333333134651184	0.0	1.0185185670852661	0.0	0.5747126340866089
2477277..2477299	1	2477277	2477299		null					Not found	0	0.0	0.44622501730918884	0.2380952537059784	0.6394008994102478	0.0	0.4464285969734192	0.13227513432502747	0.18315018713474274	0.2380952537059784	0.0	0.4912891685962677	0.17006802558898926	0.4926108419895172	0.43471235036849976	0.0	0.27667781710624695	0.7709751129150391	0.43731778860092163	0.17421601712703705	0.13227513432502747	0.0	0.3744058907032013	0.56340491771698	0.0	0.38555195927619934	0.2857142984867096	0.4084080457687378	0.3571428656578064	0.1552795022726059	0.7744636535644531	0.22383545339107513	0.3498542308807373	0.0	0.13736264407634735	0.0	0.7243912220001221	0.49474334716796875	0.12531328201293945	0.19305019080638885	0.0	0.4515508711338043	0.40816327929496765	0.26455026865005493	0.8771929740905762	0.52264803647995	0.0	0.2432488203048706	0.59598308801651	0.48477500677108765	0.0	0.6538084149360657	0.8005345463752747	0.37593984603881836	0.6081780791282654	0.0	0.0	0.0	0.2232142835855484	0.0	0.19305019080638885	0.2304147332906723	0.2304147332906723	0.0	0.0	0.21008403599262238	0.4167395234107971	0.3920515477657318	0.21008403599262238	0.0	0.2304147332906723	0.0	0.6353021860122681	0.2747252881526947	0.1552795022726059	0.18796992301940918	0.21008403599262238	0.0	0.0	0.2304147332906723	0.9373289346694946	0.2380952537059784	0.2304147332906723	0.21008403599262238	0.4260651767253876	0.0	0.0	0.17421601712703705	0.0	0.20408163964748383	0.2304147332906723	0.0	0.2747252881526947	0.2380952537059784	0.2463054209947586	1.1988011598587036	0.43768996000289917	0.2232142835855484	0.39246469736099243	0.2463054209947586
